tempo_us,erro
4.642,0
4.611,0
4.606,0
4.609,0
4.614,0
4.613,0
4.611,0
4.61,0
4.677,0
4.647,0
4.634,0
4.613,0
4.605,0
4.605,0
4.6,0
4.605,0
4.604,0
4.609,0
4.68,0
4.64,0
4.635,0
4.605,0
4.605,0
4.611,0
4.604,0
4.608,0
4.601,0
4.612,0
4.674,0
4.649,0
4.643,0
4.605,0
4.603,0
4.612,0
4.601,0
4.613,0
4.607,0
4.605,0
4.646,0
4.631,0
4.632,0
4.605,0
4.604,0
4.605,0
4.601,0
4.605,0
4.601,0
4.605,0
4.639,0
4.64,0
4.65,0
4.608,0
4.602,0
4.61,0
4.608,0
4.612,0
4.615,0
4.609,0
4.673,0
4.643,0
4.658,0
4.609,0
4.605,0
4.605,0
4.608,0
4.612,0
4.605,0
4.609,0
4.64,0
4.645,0
4.662,0
4.609,0
4.608,0
4.608,0
4.601,0
4.605,0
4.605,0
4.616,0
4.673,0
4.632,0
4.654,0
4.609,0
4.61,0
4.616,0
4.601,0
4.616,0
4.605,0
4.62,0
4.656,0
4.641,0
4.657,0
4.615,0
4.609,0
4.605,0
4.612,0
4.609,0
4.608,0
4.605,0
4.672,0
4.636,0
4.653,0
4.608,0
4.601,0
4.608,0
4.602,0
4.613,0
4.602,0
4.613,0
4.683,0
4.653,0
4.647,0
4.621,0
4.609,0
4.614,0
4.615,0
4.617,0
4.622,0
4.618,0
4.659,0
4.65,0
4.66,0
4.611,0
4.616,0
4.616,0
4.607,0
4.617,0
4.608,0
4.616,0
4.647,0
4.644,0
4.67,0
4.625,0
4.616,0
4.625,0
4.615,0
4.624,0
4.621,0
4.617,0
4.648,0
4.638,0
4.65,0
4.613,0
4.616,0
4.614,0
4.612,0
4.615,0
4.611,0
4.615,0
4.654,0
4.652,0
4.669,0
4.622,0
4.613,0
4.625,0
4.621,0
4.619,0
4.615,0
4.627,0
4.679,0
4.651,0
4.655,0
4.612,0
4.612,0
4.62,0
4.61,0
4.615,0
4.61,0
4.61,0
4.652,0
4.648,0
4.66,0
4.613,0
4.609,0
4.611,0
4.611,0
4.612,0
4.614,0
4.611,0
4.652,0
4.643,0
4.679,0
4.625,0
4.621,0
4.622,0
4.609,0
4.626,0
4.609,0
4.619,0
4.664,0
4.644,0
4.666,0
4.614,0
4.612,0
4.609,0
4.607,0
4.612,0
4.613,0
4.61,0
4.678,0
4.642,0
4.653,0
4.611,0
4.607,0
4.614,0
4.607,0
4.612,0
4.616,0
4.611,0
4.649,0
4.641,0
4.649,0
4.616,0
4.608,0
4.614,0
4.609,0
4.61,0
4.617,0
4.621,0
4.686,0
4.647,0
4.642,0
4.608,0
4.601,0
4.612,0
4.603,0
4.607,0
4.61,0
4.607,0
4.669,0
4.641,0
4.643,0
4.607,0
4.608,0
4.605,0
4.604,0
4.612,0
4.601,0
4.612,0
4.669,0
4.639,0
4.642,0
4.615,0
4.601,0
4.615,0
4.605,0
4.614,0
4.612,0
4.611,0
4.678,0
4.647,0
4.641,0
4.609,0
4.602,0
4.605,0
4.601,0
4.616,0
4.605,0
4.605,0
4.673,0
4.636,0
4.636,0
4.605,0
4.608,0
4.605,0
4.601,0
4.608,0
4.61,0
4.612,0
4.672,0
4.641,0
4.635,0
4.605,0
4.601,0
4.612,0
4.601,0
4.608,0
4.601,0
4.613,0
4.673,0
4.64,0
4.638,0
4.605,0
4.605,0
4.609,0
4.604,0
4.608,0
4.604,0
4.609,0
4.673,0
4.645,0
4.658,0
4.609,0
4.619,0
4.611,0
4.608,0
4.608,0
4.601,0
4.612,0
4.673,0
4.64,0
4.641,0
4.605,0
4.601,0
4.612,0
4.601,0
4.609,0
4.608,0
4.609,0
4.675,0
4.64,0
4.642,0
4.609,0
4.608,0
4.612,0
4.608,0
4.609,0
4.607,0
4.612,0
4.673,0
4.643,0
4.653,0
4.615,0
4.621,0
4.625,0
4.61,0
4.623,0
4.615,0
4.615,0
4.681,0
4.644,0
4.644,0
4.605,0
4.602,0
4.605,0
4.608,0
4.605,0
4.61,0
4.616,0
4.676,0
4.642,0
4.645,0
4.613,0
4.609,0
4.612,0
4.605,0
4.615,0
4.612,0
4.609,0
4.651,0
4.651,0
4.66,0
4.62,0
4.611,0
4.613,0
4.617,0
4.611,0
4.607,0
4.611,0
4.645,0
4.64,0
4.658,0
4.609,0
4.608,0
4.616,0
4.605,0
4.613,0
4.616,0
4.615,0
4.647,0
4.656,0
4.636,0
4.619,0
4.609,0
4.612,0
4.608,0
4.609,0
4.605,0
4.611,0
4.681,0
4.64,0
4.653,0
4.613,0
4.608,0
4.609,0
4.614,0
4.609,0
4.61,0
4.622,0
4.68,0
4.644,0
4.659,0
4.611,0
4.619,0
4.607,0
4.603,0
4.61,0
4.601,0
4.612,0
4.638,0
4.641,0
4.642,0
4.616,0
4.608,0
4.619,0
4.62,0
4.616,0
4.606,0
4.605,0
4.66,0
4.645,0
4.649,0
4.609,0
4.609,0
4.61,0
4.613,0
4.616,0
4.61,0
4.624,0
4.649,0
4.639,0
4.652,0
4.609,0
4.605,0
4.612,0
4.605,0
4.609,0
4.612,0
4.61,0
4.649,0
4.649,0
4.658,0
4.616,0
4.615,0
4.616,0
4.604,0
4.605,0
4.608,0
4.608,0
4.644,0
4.636,0
4.665,0
4.612,0
4.61,0
4.611,0
4.614,0
4.612,0
4.604,0
4.609,0
4.647,0
4.64,0
4.652,0
4.609,0
4.604,0
4.609,0
4.605,0
4.609,0
4.605,0
4.604,0
4.637,0
4.627,0
4.642,0
4.612,0
4.608,0
4.609,0
4.615,0
4.612,0
4.614,0
4.616,0
4.646,0
4.628,0
4.645,0
4.605,0
4.61,0
4.607,0
4.605,0
4.609,0
4.605,0
4.609,0
4.642,0
4.63,0
4.646,0
4.606,0
4.603,0
4.607,0
4.601,0
4.604,0
4.599,0
4.616,0
4.643,0
4.638,0
4.667,0
4.611,0
4.609,0
4.615,0
4.605,0
4.609,0
4.604,0
4.616,0
4.651,0
4.633,0
4.637,0
4.604,0
4.601,0
4.605,0
4.601,0
4.608,0
4.601,0
4.605,0
4.638,0
4.633,0
4.657,0
4.612,0
4.602,0
4.605,0
4.614,0
4.607,0
4.605,0
4.604,0
4.638,0
4.633,0
4.671,0
4.609,0
4.605,0
4.609,0
4.611,0
4.609,0
4.601,0
4.605,0
4.671,0
4.636,0
4.637,0
4.605,0
4.604,0
4.607,0
4.601,0
4.607,0
4.606,0
4.616,0
4.649,0
4.647,0
4.666,0
4.621,0
4.616,0
4.611,0
4.617,0
4.606,0
4.605,0
4.61,0
4.67,0
4.64,0
4.652,0
4.616,0
4.605,0
4.605,0
4.612,0
4.609,0
4.604,0
4.605,0
4.643,0
4.652,0
4.641,0
4.608,0
4.603,0
4.608,0
4.601,0
4.605,0
4.601,0
4.621,0
4.67,0
4.64,0
4.64,0
4.611,0
4.603,0
4.606,0
4.601,0
4.605,0
4.607,0
4.61,0
4.654,0
4.639,0
4.651,0
4.608,0
4.602,0
4.607,0
4.603,0
4.614,0
4.603,0
4.605,0
4.64,0
4.644,0
4.663,0
4.609,0
4.607,0
4.619,0
4.601,0
4.609,0
4.603,0
4.607,0
4.644,0
4.637,0
4.652,0
4.605,0
4.601,0
4.605,0
4.608,0
4.605,0
4.601,0
4.607,0
4.643,0
4.637,0
4.632,0
4.619,0
4.614,0
4.619,0
4.606,0
4.616,0
4.61,0
4.618,0
4.685,0
4.653,0
4.644,0
4.618,0
4.613,0
4.616,0
4.616,0
4.611,0
4.621,0
4.615,0
4.684,0
4.638,0
4.665,0
4.616,0
4.613,0
4.624,0
4.621,0
4.629,0
4.626,0
4.618,0
4.684,0
4.655,0
4.656,0
4.613,0
4.602,0
4.622,0
4.608,0
4.62,0
4.614,0
4.623,0
4.695,0
4.68,0
4.666,0
4.634,0
4.627,0
4.621,0
4.627,0
4.624,0
4.615,0
4.625,0
4.682,0
4.657,0
4.666,0
4.619,0
4.618,0
4.621,0
4.618,0
4.625,0
4.621,0
4.628,0
4.703,0
4.654,0
4.676,0
4.634,0
4.626,0
4.631,0
4.621,0
4.633,0
4.623,0
4.628,0
4.685,0
4.672,0
4.668,0
4.644,0
4.622,0
4.629,0
4.623,0
4.635,0
4.626,0
4.638,0
4.694,0
4.681,0
4.671,0
4.634,0
4.629,0
4.637,0
4.623,0
4.63,0
4.626,0
4.628,0
4.71,0
4.668,0
4.663,0
4.633,0
4.634,0
4.634,0
4.631,0
4.639,0
4.645,0
4.631,0
4.713,0
4.676,0
4.672,0
4.628,0
4.625,0
4.628,0
4.628,0
4.624,0
4.628,0
4.635,0
4.693,0
4.667,0
4.676,0
4.639,0
4.633,0
4.642,0
4.633,0
4.64,0
4.646,0
4.629,0
4.695,0
4.663,0
4.669,0
4.63,0
4.619,0
4.642,0
4.618,0
4.626,0
4.623,0
4.632,0
4.691,0
4.668,0
4.681,0
4.642,0
4.619,0
4.633,0
4.623,0
4.636,0
4.626,0
4.621,0
4.688,0
4.666,0
4.682,0
4.627,0
4.619,0
4.62,0
4.624,0
4.631,0
4.621,0
4.622,0
4.701,0
4.682,0
4.679,0
4.629,0
4.609,0
4.622,0
4.624,0
4.625,0
4.62,0
4.619,0
4.683,0
4.67,0
4.679,0
4.624,0
4.61,0
4.619,0
4.622,0
4.626,0
4.625,0
4.623,0
4.688,0
4.674,0
4.671,0
4.632,0
4.615,0
4.619,0
4.612,0
4.617,0
4.616,0
4.619,0
4.679,0
4.657,0
4.671,0
4.615,0
4.62,0
4.612,0
4.61,0
4.616,0
4.61,0
4.622,0
4.676,0
4.661,0
4.684,0
4.619,0
4.607,0
4.614,0
4.608,0
4.614,0
4.613,0
4.609,0
4.679,0
4.656,0
4.709,0
4.615,0
4.601,0
4.608,0
4.617,0
4.608,0
4.611,0
4.616,0
4.678,0
4.654,0
4.663,0
4.615,0
4.609,0
4.609,0
4.605,0
4.613,0
4.601,0
4.61,0
4.676,0
4.658,0
4.667,0
4.611,0
4.605,0
4.609,0
4.604,0
4.609,0
4.604,0
4.605,0
4.668,0
4.65,0
4.658,0
4.605,0
4.601,0
4.605,0
4.601,0
4.604,0
4.599,0
4.602,0
4.667,0
4.65,0
4.658,0
4.611,0
4.601,0
4.605,0
4.606,0
4.605,0
4.608,0
4.608,0
4.678,0
4.659,0
4.67,0
4.614,0
4.604,0
4.608,0
4.605,0
4.608,0
4.606,0
4.608,0
4.668,0
4.662,0
4.653,0
4.612,0
4.607,0
4.608,0
4.618,0
4.611,0
4.617,0
4.614,0
4.676,0
4.663,0
4.665,0
4.615,0
4.613,0
4.608,0
4.607,0
4.62,0
4.608,0
4.608,0
4.673,0
4.663,0
4.656,0
4.614,0
4.619,0
4.609,0
4.61,0
4.606,0
4.605,0
4.614,0
4.677,0
4.658,0
4.669,0
4.61,0
4.61,0
4.605,0
4.612,0
4.604,0
4.61,0
4.613,0
4.685,0
4.667,0
4.669,0
4.617,0
4.615,0
4.613,0
4.618,0
4.613,0
4.611,0
4.612,0
4.68,0
4.656,0
4.671,0
4.613,0
4.601,0
4.605,0
4.602,0
4.608,0
4.608,0
4.613,0
4.67,0
4.653,0
4.673,0
4.61,0
4.608,0
4.608,0
4.613,0
4.611,0
4.611,0
4.611,0
4.676,0
4.652,0
4.666,0
4.607,0
4.601,0
4.611,0
4.603,0
4.617,0
4.601,0
4.605,0
4.678,0
4.657,0
4.669,0
4.611,0
4.611,0
4.611,0
4.606,0
4.62,0
4.603,0
4.611,0
4.685,0
4.661,0
4.668,0
4.609,0
4.616,0
4.616,0
4.602,0
4.606,0
4.611,0
4.606,0
4.677,0
4.654,0
4.66,0
4.607,0
4.604,0
4.607,0
4.604,0
4.604,0
4.614,0
4.609,0
4.67,0
4.657,0
4.653,0
4.605,0
4.608,0
4.608,0
4.602,0
4.611,0
4.608,0
4.615,0
4.683,0
4.654,0
4.667,0
4.612,0
4.608,0
4.612,0
4.614,0
4.605,0
4.605,0
4.615,0
4.685,0
4.65,0
4.662,0
4.612,0
4.605,0
4.608,0
4.601,0
4.605,0
4.601,0
4.605,0
4.676,0
4.659,0
4.661,0
4.619,0
4.605,0
4.608,0
4.601,0
4.608,0
4.601,0
4.605,0
4.677,0
4.658,0
4.664,0
4.614,0
4.607,0
4.608,0
4.611,0
4.606,0
4.607,0
4.609,0
4.673,0
4.653,0
4.661,0
4.609,0
4.605,0
4.609,0
4.605,0
4.609,0
4.605,0
4.608,0
4.671,0
4.655,0
4.657,0
4.608,0
4.602,0
4.608,0
4.604,0
4.608,0
4.611,0
4.609,0
4.676,0
4.662,0
4.661,0
4.619,0
4.611,0
4.618,0
4.603,0
4.616,0
4.615,0
4.615,0
4.67,0
4.655,0
4.66,0
4.608,0
4.612,0
4.616,0
4.605,0
4.613,0
4.606,0
4.612,0
4.675,0
4.658,0
4.668,0
4.62,0
4.605,0
4.612,0
4.605,0
4.609,0
4.605,0
4.609,0
4.682,0
4.657,0
4.672,0
4.625,0
4.612,0
4.628,0
4.623,0
4.611,0
4.601,0
4.613,0
4.678,0
4.65,0
4.651,0
4.62,0
4.617,0
4.612,0
4.615,0
4.618,0
4.62,0
4.626,0
4.685,0
4.672,0
4.673,0
4.621,0
4.618,0
4.616,0
4.617,0
4.61,0
4.602,0
4.616,0
4.67,0
4.642,0
4.644,0
4.605,0
4.601,0
4.605,0
4.601,0
4.605,0
4.608,0
4.605,0
4.673,0
4.653,0
4.648,0
4.621,0
4.616,0
4.624,0
4.618,0
4.624,0
4.61,0
4.621,0
4.687,0
4.642,0
4.648,0
4.611,0
4.605,0
4.608,0
4.609,0
4.611,0
4.612,0
4.608,0
4.677,0
4.647,0
4.662,0
4.622,0
4.618,0
4.616,0
4.619,0
4.62,0
4.62,0
4.615,0
4.69,0
4.649,0
4.659,0
4.626,0
4.614,0
4.618,0
4.616,0
4.625,0
4.62,0
4.623,0
4.678,0
4.654,0
4.661,0
4.618,0
4.622,0
4.629,0
4.609,0
4.617,0
4.614,0
4.623,0
4.685,0
4.66,0
4.67,0
4.617,0
4.613,0
4.617,0
4.623,0
4.617,0
4.615,0
4.626,0
4.687,0
4.652,0
4.666,0
4.617,0
4.618,0
4.624,0
4.609,0
4.619,0
4.611,0
4.625,0
4.687,0
4.651,0
4.659,0
4.618,0
4.618,0
4.622,0
4.613,0
4.619,0
4.611,0
4.621,0
4.678,0
4.652,0
4.673,0
4.625,0
4.623,0
4.626,0
4.621,0
4.624,0
4.613,0
4.617,0
4.678,0
4.641,0
4.647,0
4.616,0
4.613,0
4.616,0
4.614,0
4.614,0
4.61,0
4.613,0
4.648,0
4.638,0
4.652,0
4.618,0
4.607,0
4.611,0
4.613,0
4.615,0
4.621,0
4.618,0
4.662,0
4.657,0
4.663,0
4.623,0
4.611,0
4.624,0
4.609,0
4.621,0
4.613,0
4.611,0
4.653,0
4.65,0
4.66,0
4.61,0
4.615,0
4.612,0
4.605,0
4.612,0
4.608,0
4.615,0
4.649,0
4.644,0
4.658,0
4.611,0
4.611,0
4.616,0
4.612,0
4.614,0
4.608,0
4.615,0
4.643,0
4.654,0
4.651,0
4.605,0
4.609,0
4.609,0
4.601,0
4.612,0
4.601,0
4.605,0
4.647,0
4.639,0
4.646,0
4.615,0
4.607,0
4.616,0
4.601,0
4.621,0
4.607,0
4.609,0
4.654,0
4.631,0
4.65,0
4.612,0
4.601,0
4.605,0
4.607,0
4.607,0
4.604,0
4.607,0
4.647,0
4.626,0
4.649,0
4.608,0
4.604,0
4.605,0
4.604,0
4.605,0
4.601,0
4.605,0
4.642,0
4.626,0
4.648,0
4.673,0
4.601,0
4.605,0
4.601,0
4.603,0
4.607,0
4.605,0
4.643,0
4.644,0
4.647,0
4.619,0
4.611,0
4.609,0
4.605,0
4.609,0
4.605,0
4.609,0
4.65,0
4.638,0
4.651,0
4.609,0
4.605,0
4.609,0
4.605,0
4.608,0
4.604,0
4.608,0
4.653,0
4.631,0
4.649,0
4.613,0
4.606,0
4.624,0
4.606,0
4.621,0
4.603,0
4.622,0
4.651,0
4.643,0
4.652,0
4.607,0
4.601,0
4.605,0
4.608,0
4.609,0
4.608,0
4.621,0
4.655,0
4.631,0
4.653,0
4.615,0
4.618,0
4.615,0
4.613,0
4.621,0
4.612,0
4.625,0
4.655,0
4.644,0
4.65,0
4.61,0
4.601,0
4.616,0
4.601,0
4.611,0
4.608,0
4.615,0
4.654,0
4.641,0
4.662,0
4.62,0
4.611,0
4.608,0
4.604,0
4.618,0
4.605,0
4.616,0
4.654,0
4.646,0
4.66,0
4.613,0
4.605,0
4.613,0
4.613,0
4.609,0
4.611,0
4.615,0
4.65,0
4.64,0
4.67,0
4.617,0
4.612,0
4.628,0
4.626,0
4.62,0
4.619,0
4.609,0
4.644,0
4.636,0
4.666,0
4.611,0
4.61,0
4.605,0
4.607,0
4.616,0
4.601,0
4.613,0
4.646,0
4.643,0
4.658,0
4.61,0
4.608,0
4.617,0
4.614,0
10.387,0
24.043,0
30.504,0
16.922,0
26.495,0
18.78,0
4.921,0
10.299,0
10.103,0
14.183,0
4.65,0
8.896,0
14.208,0
10.185,0
4.733,0
4.693,0
4.688,0
4.641,0
4.645,0
4.648,0
4.638,0
4.64,0
4.617,0
4.633,0
4.615,0
4.626,0
4.611,0
4.739,0
4.69,0
4.649,0
4.682,0
4.681,0
4.623,0
4.629,0
4.625,0
4.628,0
4.617,0
4.616,0
4.615,0
4.617,0
4.618,0
4.712,0
4.689,0
4.645,0
4.648,0
4.614,0
4.608,0
4.614,0
4.61,0
4.619,0
4.615,0
4.615,0
4.653,0
4.643,0
4.658,0
4.622,0
4.608,0
4.618,0
4.612,0
4.622,0
4.612,0
4.611,0
4.658,0
4.64,0
4.653,0
4.618,0
4.608,0
4.618,0
4.623,0
4.624,0
4.608,0
4.611,0
4.649,0
4.64,0
4.653,0
4.624,0
4.608,0
4.615,0
4.612,0
4.616,0
4.619,0
4.614,0
4.655,0
4.646,0
4.654,0
4.618,0
4.612,0
4.615,0
4.612,0
4.622,0
4.612,0
4.618,0
4.653,0
4.646,0
4.664,0
4.62,0
4.619,0
4.632,0
4.616,0
4.638,0
4.625,0
4.626,0
4.655,0
4.649,0
4.673,0
4.622,0
4.614,0
4.626,0
4.612,0
4.614,0
4.612,0
4.614,0
4.659,0
4.66,0
4.669,0
4.621,0
4.63,0
4.629,0
4.633,0
4.633,0
4.626,0
4.617,0
4.668,0
4.641,0
4.66,0
4.624,0
4.61,0
4.623,0
4.614,0
4.62,0
4.619,0
4.63,0
14.431,0
30.507,0
